hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3334479393,Hero(BTN),183BB,8c 4d,2c 5c 9h,Ad,,Opp(MP): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Opp(MP): bets 2.2BB; Opp(BB): calls 2.2BB; ,8.8BB,Opp(BB): checks; Opp(MP): bets 4.4BB; ,8.8BB,,0BB,0BB,8.8BB
RC3334479367,Hero(SB),184BB,5s 3h,,,,Opp(CO): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB
RC3334479167,Hero(BTN),188BB,Qd As,Jh 2d 2c,6s,,Hero: raises 2.0BB; Opp(SB): raises 4.6BB; Hero: calls 2.6BB; ,10.6BB,Opp(SB): checks; Hero: checks; ,10.6BB,Opp(SB): bets 5.2BB; ,10.6BB,,0BB,-4.6BB,10.2BB
RC3334479145,Hero(UTG),188BB,3s Jc,,,,Opp(BTN): raises 2.2BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334478949,Hero(BB),191BB,9d Tc,Qh 7d Ac,,,Opp(BTN): raises 2.6BB; Hero: calls 1.6BB; ,5.6BB,Hero: checks; Opp(BTN): bets 3.2BB; ,5.6BB,,0BB,,0BB,-2.6BB,5.6BB
RC3334478916,Hero(MP),191BB,Ad 5s,9h Kh 6h,,,Opp(BTN): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Opp(BTN): bets 2.0BB; ,4.4BB,,0BB,,0BB,0BB,4.4BB
RC3334475406,Hero(BB),187BB,Ks Qc,7h Kd 6d,Qh,4s,Opp(UTG): raises 2.4BB; Hero: calls 1.4BB; ,5.2BB,Hero: checks; Opp(UTG): bets 1.8BB; Hero: calls 1.8BB; ,8.8BB,Hero: checks; Opp(UTG): checks; ,8.8BB,Hero: bets 6.8BB; ,8.8BB,4.2BB,8.8BB
RC3334475373,Hero(UTG),187BB,Kc Ts,,,,Opp(BTN): raises 2.4BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334475254,Hero(BTN),185BB,2c 2s,,,,Hero: raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,1.2BB,2.4BB
RC3334475208,Hero(SB),186BB,6d 7s,,,,Opp(UTG): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB
