hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3350619861,Hero(CO),106BB,Qc Qh,,,,Opp(UTG): raises 2.0BB; Hero: raises 6.4BB; Opp(UTG): raises 22.0BB; ,16.2BB,,0BB,,0BB,,0BB,-6.4BB,14.2BB
RC3350619826,Hero(UTG),106BB,7c 2d,3s 6h Jh,7h,,Opp(BTN): raises 2.0BB; Opp(SB): raises 6.0BB; Opp(BTN): raises 15.8BB; Opp(SB): calls 9.8BB; ,35.0BB,Opp(SB): checks; Opp(BTN): bets 8.8BB; Opp(SB): calls 8.8BB; ,52.6BB,Opp(SB): checks; Opp(BTN): bets 25.2BB; ,52.6BB,,0BB,0BB,50.2BB
RC3350619807,Hero(BB),107BB,3d Ks,,,,Opp(UTG): raises 2.6BB; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3350619756,Hero(SB),107BB,6c Qs,4h 4d 4c,9s,3s,Opp(MP): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Opp(MP): checks; ,4.4BB,Opp(BB): checks; Opp(MP): checks; ,4.4BB,Opp(BB): checks; Opp(MP): checks; f142db8a: shows [Ah Tc] (Three Fours); e088286c: shows [Kh 8h] (Three Fours); ,4.4BB,-0.4BB,4.4BB
RC3350619735,Hero(BTN),107BB,4d Js,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350619715,Hero(UTG),107BB,2d Ac,4h 4d Ad,,,Opp(SB): raises 3.0BB; Opp(BB): calls 2.0BB; ,6.4BB,Opp(SB): bets 2.0BB; ,6.4BB,,0BB,,0BB,0BB,6.0BB
RC3350619698,Hero(UTG),107BB,Tc 7s,,,,Opp(BTN): raises 2.6BB; Opp(BB): raises 10.4BB; ,6.6BB,,0BB,,0BB,,0BB,0BB,5.6BB
RC3350619672,Hero(MP),107BB,6d Th,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350619653,Hero(SB),107BB,Jd Th,,,,Opp(UTG): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB
RC3350619616,Hero(BB),108BB,Th 5h,,,,Opp(CO): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3350619593,Hero(BTN),108BB,8d Jd,,,,Opp(CO): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3350619354,Hero(CO),110BB,Qd Js,Ah 5h 2d,3d,2h,Hero: raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Hero: checks; ,4.4BB,Opp(BB): checks; Hero: checks; ,4.4BB,Opp(BB): bets 3.4BB; ,4.4BB,-2.0BB,4.4BB
RC3350619336,Hero(CO),110BB,Jh 5c,8c 4c 2d,Kh,,Opp(SB): raises 2.0BB; Opp(BB): calls 1.0BB; ,4.4BB,Opp(SB): bets 1.4BB; Opp(BB): calls 1.4BB; ,7.2BB,Opp(SB): checks; Opp(BB): bets 4.0BB; ,7.2BB,,0BB,0BB,6.8BB
RC3350619317,Hero(UTG),110BB,5s Ah,8h 9s 8c,6c,6h,Opp(MP): raises 2.2BB; Opp(BB): calls 1.2BB; ,4.8BB,Opp(BB): checks; Opp(MP): checks; ,4.8BB,Opp(BB): bets 3.6BB; Opp(MP): calls 3.6BB; ,12.0BB,Opp(BB): checks; Opp(MP): checks; f8e5de86: shows [Ks Jc] (Pair of Eights and Pair of Sixes); 61fdc61b: shows [Kd Kc] (Pair of Kings and Pair of Eights); ,12.0BB,0BB,12.0BB
RC3350619295,Hero(BTN),110BB,4h Qd,,,,Opp(UTG): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3350619162,Hero(SB),109BB,7d 8d,Td Kh 9h,,,Hero: calls 0.6BB; Opp(BB): checks; ,2.0BB,Hero: bets 1.0BB; ,2.0BB,,0BB,,0BB,1.0BB,2.0BB
RC3350619144,Hero(BB),110BB,6d 7c,,,,Opp(UTG): raises 2.6BB; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3350619123,Hero(UTG),110BB,7s 6d,,,,Opp(BTN): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3350619106,Hero(MP),110BB,Kc Ts,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
